output var name, var name, reference day, computation, nr days, climate computation, parameter 1, parameter 2
AW,AVAILABLE_WATER,-1,,,,,
FAW,FRACTION_AW,-1,,,,,
DEFICIT,DEFICIT,-1,,,,,
DEFICIT_25,DEFICIT_25,-1,,,,,
DT30,DT30,-1,,,,,
DT90,DT90,-1,,,,,
DT180,DT180,-1,,,,,
AW_percentile,AVAILABLE_WATER,-1,,,PERCENTILE,,7
