date,ID_CASE,CROP,DEFICIT0,DEFICIT1,DEFICIT2,DEFICIT3,DEFICIT4,DEFICIT5,DEFICIT6,DEFICIT7,PREC_8,PREC_7,PREC_6,PREC_5,PREC_4,PREC_3,PREC_2,PREC_1,PREC0,PREC1,PREC2,PREC3,PREC4,PREC5,PREC6,PREC7
2021-01-28,M00651S102C1,FALLOW,3.4,4.0,-17.0,-12.8,-3.1,1.3,1.9,2.0,1.6,3.9,23.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5.9,0.4,0.0,0.1,0.6
2021-01-28,M00652S104C1,FALLOW,-7.5,1.1,-16.4,-21.3,-20.5,-19.4,-15.8,-7.7,1.1,5.2,24.1,7.6,0.0,0.0,0.0,0.0,0.0,0.0,21.1,6.3,0.3,0.0,0.1,0.6
2021-01-28,M00653S104C1,FALLOW,-6.1,2.6,-15.5,-20.8,-20.1,-19.1,-17.0,-8.7,0.6,6.0,23.4,6.6,0.0,0.0,0.0,0.0,0.0,0.0,20.3,6.8,0.4,0.0,0.1,0.4
2021-01-28,M00654S104C1,FALLOW,-5.6,3.1,-15.4,-21.1,-20.4,-19.3,-17.2,-8.9,0.8,6.6,23.3,6.2,0.0,0.0,0.0,0.0,0.0,0.0,20.3,7.2,0.4,0.0,0.1,0.4
2021-01-28,M00692S104C1,FALLOW,-4.3,3.3,-15.5,-20.9,-20.2,-19.1,-17.0,-8.7,1.0,4.7,22.6,7.2,0.0,0.0,0.0,0.0,0.0,0.0,20.2,6.8,0.4,0.0,0.1,0.4
2021-01-28,M00693S104C1,FALLOW,-3.7,3.4,-15.0,-20.7,-20.0,-18.9,-16.8,-8.5,0.6,5.2,22.3,6.8,0.0,0.0,0.0,0.0,0.0,0.0,19.7,7.1,0.4,0.0,0.1,0.4
2021-01-28,M01697S105C1,FALLOW,37.4,37.9,34.0,28.9,29.1,30.0,30.7,31.5,0.0,0.0,1.9,2.3,2.4,0.0,0.0,0.0,0.1,0.0,4.7,6.1,0.7,0.0,0.0,0.1
2021-01-28,M01732S105C1,FALLOW,49.9,50.2,40.5,31.7,32.4,33.5,34.3,35.1,0.0,0.0,2.6,3.6,0.2,0.0,0.0,0.0,0.1,0.1,10.7,10.0,0.5,0.0,0.1,0.1
2021-01-28,M01733S105C1,FALLOW,43.3,43.7,34.8,27.4,28.1,29.2,29.9,30.7,0.0,0.0,2.7,3.5,0.2,0.0,0.1,0.0,0.1,0.1,9.8,8.6,0.4,0.0,0.1,0.1
2021-01-28,M01735S105C1,FALLOW,45.4,45.8,38.7,33.6,34.2,35.1,35.8,36.5,0.0,0.0,2.6,3.0,0.8,0.0,0.1,0.0,0.1,0.0,8.1,6.2,0.4,0.0,0.1,0.1
2021-01-28,M01736S105C1,FALLOW,41.4,41.9,36.3,31.9,32.3,33.3,34.0,34.8,0.0,0.0,2.3,3.2,1.5,0.0,0.0,0.0,0.1,0.0,6.5,5.4,0.5,0.0,0.0,0.1
2021-01-28,M01737S105C1,FALLOW,15.6,16.1,11.9,7.7,7.8,8.7,9.4,10.2,0.0,0.0,1.9,1.7,1.8,0.0,0.0,0.0,0.1,0.0,5.1,5.1,0.8,0.0,0.0,0.1
2021-01-28,M01738S105C1,FALLOW,31.4,31.8,28.7,24.9,24.9,25.8,26.5,27.3,0.0,0.0,1.7,1.0,2.7,0.0,0.0,0.0,0.1,0.0,4.0,4.7,0.8,0.0,0.0,0.1
2021-01-28,M01771S105C1,FALLOW,60.3,60.8,49.6,41.0,41.7,42.8,43.5,44.2,0.0,0.0,1.9,2.5,0.0,0.0,0.0,0.0,0.0,0.0,12.2,9.8,0.4,0.0,0.1,0.1
2021-01-28,M01772S105C1,FALLOW,62.4,62.7,53.1,45.6,46.2,47.2,47.9,48.5,0.0,0.0,1.6,2.3,0.1,0.0,0.0,0.0,0.1,0.1,10.5,8.6,0.5,0.0,0.1,0.1
2021-01-28,M01773S105C1,FALLOW,50.1,50.4,41.4,35.0,35.5,36.5,37.3,38.0,0.0,0.0,2.0,2.6,0.3,0.0,0.1,0.0,0.1,0.1,10.0,7.5,0.5,0.0,0.1,0.1
2021-01-28,M01774S105C1,FALLOW,31.4,31.8,23.5,18.4,18.9,19.9,20.6,21.4,0.0,0.0,2.5,2.8,0.3,0.0,0.2,0.0,0.1,0.0,9.3,6.2,0.5,0.0,0.1,0.1
2021-01-28,M01775S105C1,FALLOW,46.3,46.7,39.3,35.3,35.8,36.8,37.4,38.1,0.0,0.0,2.6,2.4,1.0,0.0,0.0,0.0,0.1,0.0,8.4,5.0,0.5,0.0,0.1,0.1
2021-01-28,M01776S105C1,FALLOW,37.6,38.1,32.0,28.6,29.0,29.9,30.6,31.4,0.0,0.0,2.4,2.0,1.9,0.0,0.0,0.0,0.1,0.0,7.0,4.4,0.5,0.0,0.0,0.1
2021-01-28,M01777S105C1,FALLOW,32.3,32.8,28.2,25.0,25.1,26.0,26.7,27.5,0.0,0.0,1.9,1.3,2.1,0.0,0.0,0.0,0.1,0.0,5.4,4.2,0.7,0.0,0.0,0.1
